айди существующих текстур
 INVALID	-1
 IMPASSABLE	1
 ROAD	2
 ROCKY	3
 DIRT	4
 SAVANNA	5
 GRASS	6
 FOREST	7
 MARSH	8
 WEB	9
 WOODFLOOR	10
 CARPET	11
 CHECKER	12
 CAVE	13
 FUNGUS	14
 SINKHOLE	15
 UNDERROCK	16
 MUD	17
 BRICK	18
 BRICK_GLOW	19
 TILES	20
 TILES_GLOW	21
 TRIM	22
 TRIM_GLOW	23
 FUNGUSRED	24
 FUNGUSGREEN	25
 DECIDUOUS	30
 DESERT_DIRT	31
 DIRT_NOISE	123
 ABYSS_NOISE	124
 GROUND_NOISE	125
 CAVE_NOISE	126
 FUNGUS_NOISE	127
 UNDERGROUND	128
 WALL_ROCKY	151
 WALL_DIRT	152
 WALL_MARSH	153
 WALL_CAVE	154
 WALL_FUNGUS	155
 WALL_SINKHOLE	156
 WALL_MUD	157
 WALL_TOP	158
 WALL_WOOD	159
 WALL_HUNESTONE	160
 WALL_HUNESTONE_GLOW	161
 WALL_STONEEYE	162
 WALL_STONEEYE_GLOW	163

 имеющиеся типы материалов
 1	Impassible
2	Road
3	Rocky
4	Dirt
5	Savanna
6	Grass
7	Forest
8	Marsh
10	Wood
11	Carpet
12	Checkers
13	CAVE
14	FUNGUS
15	SINKHOLE
16	UNDERROCK
17	MUD
24	FUNGUSRED
25	FUNGUSGREEN
125	GROUND_NOISE
126	CAVE_NOISE
127	FUNGUS_NOISE
151	WALL_ROCKY
152	WALL_DIRT
153	WALL_MARSH
154	WALL_CAVE
155	WALL_FUNGUS
156	WALL_SINKHOLE
157	WALL_MUD
159	WALL_WOOD

 
